FolderName,DistanceTag,Distance,MeanCorrelation
re1000_we20_raytraced_D5.00pi,D5.00pi,5,0.402871550809106
re1000_we20_raytraced_D5.57pi,D5.57pi,5.57,0.409424715447241
re1000_we20_raytraced_D6.14pi,D6.14pi,6.14,0.416071847580226
re1000_we20_raytraced_D6.71pi,D6.71pi,6.71,0.420474002158179
re1000_we20_raytraced_D7.29pi,D7.29pi,7.29,0.422766571906585
re1000_we20_raytraced_D7.86pi,D7.86pi,7.86,0.424151758401948
re1000_we20_raytraced_D8.43pi,D8.43pi,8.43,0.422371768226869
re1000_we20_raytraced_D9.00pi,D9.00pi,9,0.420908564360395
re1000_we20_raytraced_D9.57pi,D9.57pi,9.57,0.418319588049023
re1000_we20_raytraced_D10.14pi,D10.14pi,10.14,0.416202470496085
re1000_we20_raytraced_D10.71pi,D10.71pi,10.71,0.411871696432409
re1000_we20_raytraced_D11.29pi,D11.29pi,11.29,0.408654069700868
re1000_we20_raytraced_D11.86pi,D11.86pi,11.86,0.404738800289506
re1000_we20_raytraced_D12.43pi,D12.43pi,12.43,0.401105342185015
re1000_we20_raytraced_D13.00pi,D13.00pi,13,0.396383047752269
