FolderName,DistanceTag,Distance,MeanCorrelation
re1000_we20_raytraced_D1.00pi,D1.00pi,1,0.115008010088888
re1000_we20_raytraced_D2.00pi,D2.00pi,2,0.203576288267833
re1000_we20_raytraced_D3.00pi,D3.00pi,3,0.270125908624692
re1000_we20_raytraced_D4.00pi,D4.00pi,4,0.314392807659161
re1000_we20_raytraced_D5.00pi,D5.00pi,5,0.346582766471716
re1000_we20_raytraced_D6.00pi,D6.00pi,6,0.370706937762145
re1000_we20_raytraced_D7.00pi,D7.00pi,7,0.385284026317642
re1000_we20_raytraced_D8.00pi,D8.00pi,8,0.398353535060969
re1000_we20_raytraced_D9.00pi,D9.00pi,9,0.402565483514304
re1000_we20_raytraced_D10.00pi,D10.00pi,10,0.406058909475225
re1000_we20_raytraced_D11.00pi,D11.00pi,11,0.40822038763879
re1000_we20_raytraced_D12.00pi,D12.00pi,12,0.406164781469276
re1000_we20_raytraced_D13.00pi,D13.00pi,13,0.402675684399797
re1000_we20_raytraced_D14.00pi,D14.00pi,14,0.398270236640267
re1000_we20_raytraced_D15.00pi,D15.00pi,15,0.393668660459996
