Distance,DistanceTag,MeanCorrelation
2,D2.00pi,0.219039253267551
2.22,D2.22pi,0.236639830057936
2.44,D2.44pi,0.252948447334598
2.67,D2.67pi,0.266520279159215
2.89,D2.89pi,0.279741708406486
3.11,D3.11pi,0.291378389421153
3.33,D3.33pi,0.301682933646031
3.56,D3.56pi,0.30868158760517
3.78,D3.78pi,0.315968775948537
4,D4.00pi,0.32214756931396
