FolderName,DistanceTag,Distance,MeanCorrelation
re1000_we10_raytraced_D8.00pi,D8.00pi,8,0.698856592178345
re1000_we10_raytraced_D8.57pi,D8.57pi,8.57,0.683624386787415
re1000_we10_raytraced_D9.14pi,D9.14pi,9.14,0.717354655265808
re1000_we10_raytraced_D9.71pi,D9.71pi,9.71,0.671752572059631
re1000_we10_raytraced_D10.29pi,D10.29pi,10.29,0.681520462036133
re1000_we10_raytraced_D10.86pi,D10.86pi,10.86,0.703596949577332
re1000_we10_raytraced_D11.43pi,D11.43pi,11.43,0.670092403888702
re1000_we10_raytraced_D12.00pi,D12.00pi,12,0.676865816116333
re1000_we10_raytraced_D12.57pi,D12.57pi,12.57,0.710708200931549
re1000_we10_raytraced_D13.14pi,D13.14pi,13.14,0.71224981546402
re1000_we10_raytraced_D13.71pi,D13.71pi,13.71,0.711522579193115
re1000_we10_raytraced_D14.29pi,D14.29pi,14.29,0.669271469116211
re1000_we10_raytraced_D14.86pi,D14.86pi,14.86,0.644781827926636
re1000_we10_raytraced_D15.43pi,D15.43pi,15.43,0.632264077663422
re1000_we10_raytraced_D16.00pi,D16.00pi,16,0.658445358276367
