FolderName,DistanceTag,Distance,MeanCorrelation
re1000_weInf_raytraced_D1.00pi,D1.00pi,1,0.114260010905613
re1000_weInf_raytraced_D2.00pi,D2.00pi,2,0.195904642015196
re1000_weInf_raytraced_D3.00pi,D3.00pi,3,0.26007951418319
re1000_weInf_raytraced_D4.00pi,D4.00pi,4,0.301776852858101
re1000_weInf_raytraced_D5.00pi,D5.00pi,5,0.331847114392089
re1000_weInf_raytraced_D6.00pi,D6.00pi,6,0.351398312363806
re1000_weInf_raytraced_D7.00pi,D7.00pi,7,0.363753566397685
re1000_weInf_raytraced_D8.00pi,D8.00pi,8,0.373159438061901
re1000_weInf_raytraced_D9.00pi,D9.00pi,9,0.376276176259252
re1000_weInf_raytraced_D10.00pi,D10.00pi,10,0.378089809823764
re1000_weInf_raytraced_D11.00pi,D11.00pi,11,0.379739351554266
re1000_weInf_raytraced_D12.00pi,D12.00pi,12,0.377151086671148
re1000_weInf_raytraced_D13.00pi,D13.00pi,13,0.374421281106315
re1000_weInf_raytraced_D14.00pi,D14.00pi,14,0.370986862927611
re1000_weInf_raytraced_D15.00pi,D15.00pi,15,0.366160679932206
