FolderName,DistanceTag,Distance,MeanCorrelation
re2500_we10_raytrace_D1.00pi,D1.00pi,1,0
re2500_we10_raytrace_D1.29pi,D1.29pi,1.29,0
re2500_we10_raytrace_D1.57pi,D1.57pi,1.57,0
re2500_we10_raytrace_D1.58pi,D1.58pi,1.58,0
re2500_we10_raytrace_D1.86pi,D1.86pi,1.86,0
re2500_we10_raytrace_D2.14pi,D2.14pi,2.14,0
re2500_we10_raytrace_D2.16pi,D2.16pi,2.16,0
re2500_we10_raytrace_D2.43pi,D2.43pi,2.43,0
re2500_we10_raytrace_D2.71pi,D2.71pi,2.71,0
re2500_we10_raytrace_D2.74pi,D2.74pi,2.74,0
re2500_we10_raytrace_D3.00pi,D3.00pi,3,0
re2500_we10_raytrace_D3.29pi,D3.29pi,3.29,0
re2500_we10_raytrace_D3.32pi,D3.32pi,3.32,0
re2500_we10_raytrace_D3.57pi,D3.57pi,3.57,0
re2500_we10_raytrace_D3.86pi,D3.86pi,3.86,0
re2500_we10_raytrace_D3.89pi,D3.89pi,3.89,0
re2500_we10_raytrace_D4.14pi,D4.14pi,4.14,0
re2500_we10_raytrace_D4.43pi,D4.43pi,4.43,0
re2500_we10_raytrace_D4.47pi,D4.47pi,4.47,0
re2500_we10_raytrace_D4.71pi,D4.71pi,4.71,0
re2500_we10_raytrace_D5.00pi,D5.00pi,5,0
re2500_we10_raytrace_D5.05pi,D5.05pi,5.05,0
re2500_we10_raytrace_D5.63pi,D5.63pi,5.63,0
re2500_we10_raytrace_D6.21pi,D6.21pi,6.21,0
re2500_we10_raytrace_D6.79pi,D6.79pi,6.79,0
re2500_we10_raytrace_D7.37pi,D7.37pi,7.37,0
re2500_we10_raytrace_D7.95pi,D7.95pi,7.95,0
re2500_we10_raytrace_D8.53pi,D8.53pi,8.53,0
re2500_we10_raytrace_D9.11pi,D9.11pi,9.11,0
re2500_we10_raytrace_D9.68pi,D9.68pi,9.68,0
re2500_we10_raytrace_D10.26pi,D10.26pi,10.26,0
re2500_we10_raytrace_D10.84pi,D10.84pi,10.84,0
re2500_we10_raytrace_D11.42pi,D11.42pi,11.42,0
re2500_we10_raytrace_D12.00pi,D12.00pi,12,0
